wine_name,vintage,popularity,score,avg_price
"Chateau Margaux, Margaux, France","
                            2010                    ","
                            5","
                            20/20                    ",962
"Chateau Margaux, Margaux, France","
                            2009                    ","
                            5","
                            20/20                    ",944
"Chateau d'Yquem, Sauternes, France","
                            2009                    ","
                            8","
                            20/20                    ",563
"Chateau d'Yquem, Sauternes, France","
                            2005                    ","
                            8","
                            20/20                    ",367
"Chateau d'Yquem, Sauternes, France","
                            2001                    ","
                            8","
                            20/20                    ",620
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru, Cote de Nuits, France","
                            2008                    ","
                            10","
                            20/20                    ","17,045"
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru, Cote de Nuits, France","
                            2006                    ","
                            10","
                            20/20                    ","17,602"
"Chateau Figeac, Saint-Emilion Grand Cru, France","
                            1959                    ","
                            47","
                            20/20                    ",698
"Chateau Ausone, Saint-Emilion Grand Cru, France","
                            2005                    ","
                            66","
                            20/20                    ","1,573"
"Dom Perignon Rose, Champagne, France","
                            1996                    ","
                            84","
                            20/20                    ",408
"Chateau Lafleur, Pomerol, France","
                            2005                    ","
                            88","
                            20/20                    ","1,597"
"Domaine de la Romanee-Conti Montrachet Grand Cru, Cote de Beaune, France","
                            2014                    ","
                            116","
                            20/20                    ","6,511"
"Domaine Leroy Musigny Grand Cru, Cote de Nuits, France","
                            2008                    ","
                            156","
                            20/20                    ",                    
"E. Guigal Cote Rotie La Turque, Rhone, France","
                            2005                    ","
                            217","
                            20/20                    ",455
"M. Chapoutier Ermitage Le Pavillon, Rhone, France","
                            2010                    ","
                            284","
                            20/20                    ",295
"Domaine Leroy Chambertin Grand Cru, Cote de Nuits, France","
                            2014                    ","
                            320","
                            20/20                    ","8,200"
"Domaine Francois Raveneau Les Clos, Chablis Grand Cru, France","
                            2005                    ","
                            429","
                            20/20                    ",760
"Domaine des Comtes Lafon Montrachet Grand Cru, Cote de Beaune, France","
                            2009                    ","
                            539","
                            20/20                    ","1,640"
"Bouchard Pere & Fils Montrachet Grand Cru, Cote de Beaune, France","
                            2010                    ","
                            704","
                            20/20                    ",573
"Bouchard Pere & Fils Montrachet Grand Cru, Cote de Beaune, France","
                            2009                    ","
                            704","
                            20/20                    ",450
"Domaine Jean-Louis Chave Ermitage 'Cuvee Cathelin', Rhone, France","
                            2009                    ","
                            727","
                            20/20                    ","5,631"
"William Fevre Les Clos, Chablis Grand Cru, France","
                            2012                    ","
                            825","
                            20/20                    ",94
"Domaine Denis Mortet Chambertin Grand Cru, Cote de Nuits, France","
                            2014                    ","
                            966","
                            20/20                    ",563
"Domaine Leroy Corton-Charlemagne Grand Cru, Cote de Beaune, France","
                            2009                    ","
                            1,032","
                            20/20                    ","3,802"
"M. Chapoutier Ermitage Le Meal Blanc, Rhone, France","
                            2010                    ","
                            1,483","
                            20/20                    ",192
"Domaine Leflaive Chevalier-Montrachet Grand Cru, Cote de Beaune, France","
                            2012                    ","
                            183","
                            19/20                    ",575
"Domaine Leflaive Chevalier-Montrachet Grand Cru, Cote de Beaune, France","
                            2005                    ","
                            183","
                            19/20                    ",658
"Bollinger La Grande Annee Brut, Champagne, France","
                            2002                    ","
                            191","
                            19/20                    ",118
"Domaine Leroy Richebourg Grand Cru, Cote de Nuits, France","
                            2013                    ","
                            222","
                            19/20                    ","3,969"
"Domaine Leroy Richebourg Grand Cru, Cote de Nuits, France","
                            2009                    ","
                            222","
                            19/20                    ","5,516"
"Domaine Leroy Richebourg Grand Cru, Cote de Nuits, France","
                            2008                    ","
                            222","
                            19/20                    ","3,639"
"Chateau L'Eglise-Clinet, Pomerol, France","
                            2010                    ","
                            232","
                            19/20                    ",371
"Chateau L'Eglise-Clinet, Pomerol, France","
                            1998                    ","
                            232","
                            19/20                    ",311
"Domaine Leroy Clos de Vougeot Grand Cru, Cote de Nuits, France","
                            2014                    ","
                            233","
                            19/20                    ","2,793"
"Domaine Leroy Clos de Vougeot Grand Cru, Cote de Nuits, France","
                            2009                    ","
                            233","
                            19/20                    ","2,998"
"Domaine Leflaive Batard-Montrachet Grand Cru, Cote de Beaune, France","
                            2012                    ","
                            241","
                            19/20                    ",462
