wine_name,vintage,popularity,score,avg_price
"Chateau Mouton Rothschild, Pauillac, France","
                            1986                    ","
                            1","
                            100/100                    ",929
"Chateau Mouton Rothschild, Pauillac, France","
                            1959                    ","
                            1","
                            100/100                    ","2,866"
"Chateau Mouton Rothschild, Pauillac, France","
                            1945                    ","
                            1","
                            100/100                    ","13,344"
"Chateau Lafite Rothschild, Pauillac, France","
                            2003                    ","
                            2","
                            100/100                    ","1,105"
"Chateau Lafite Rothschild, Pauillac, France","
                            1953                    ","
                            2","
                            100/100                    ","2,564"
"Chateau Lafite Rothschild, Pauillac, France","
                            1870                    ","
                            2","
                            100/100                    ","9,523"
"Petrus, Pomerol, France","
                            2015                    ","
                            3","
                            100/100                    ","3,773"
"Petrus, Pomerol, France","
                            1990                    ","
                            3","
                            100/100                    ","4,154"
"Petrus, Pomerol, France","
                            1989                    ","
                            3","
                            100/100                    ","3,988"
"Petrus, Pomerol, France","
                            1929                    ","
                            3","
                            100/100                    ","11,482"
"Petrus, Pomerol, France","
                            1921                    ","
                            3","
                            100/100                    ","30,173"
"Chateau Margaux, Margaux, France","
                            2015                    ","
                            5","
                            100/100                    ","1,401"
"Chateau Margaux, Margaux, France","
                            1996                    ","
                            5","
                            100/100                    ",803
"Chateau Margaux, Margaux, France","
                            1990                    ","
                            5","
                            100/100                    ","1,232"
"Chateau Margaux, Margaux, France","
                            1900                    ","
                            5","
                            100/100                    ","16,958"
"Chateau Latour, Pauillac, France","
                            2003                    ","
                            6","
                            100/100                    ",932
"Chateau Latour, Pauillac, France","
                            1982                    ","
                            6","
                            100/100                    ","1,987"
"Chateau Latour, Pauillac, France","
                            1928                    ","
                            6","
                            100/100                    ","3,436"
"Chateau Haut-Brion, Pessac-Leognan, France","
                            2010                    ","
                            9","
                            100/100                    ",941
"Chateau Haut-Brion, Pessac-Leognan, France","
                            2005                    ","
                            9","
                            100/100                    ",781
"Chateau Haut-Brion, Pessac-Leognan, France","
                            1989                    ","
                            9","
                            100/100                    ","2,068"
"Chateau Haut-Brion, Pessac-Leognan, France","
                            1945                    ","
                            9","
                            100/100                    ","3,572"
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru, Cote de Nuits, France","
                            2005                    ","
                            10","
                            100/100                    ","22,947"
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru, Cote de Nuits, France","
                            1985                    ","
                            10","
                            100/100                    ","16,843"
"Chateau Latour, Pauillac, France","
                            1924                    ","
                            6","
                            100/100                    ","1,885"
"Chateau d'Yquem, Sauternes, France","
                            2015                    ","
                            8","
                            100/100                    ",324
"Chateau d'Yquem, Sauternes, France","
                            2009                    ","
                            8","
                            100/100                    ",566
"Chateau d'Yquem, Sauternes, France","
                            2001                    ","
                            8","
                            100/100                    ",620
"Chateau d'Yquem, Sauternes, France","
                            1945                    ","
                            8","
                            100/100                    ","4,002"
"Chateau d'Yquem, Sauternes, France","
                            1847                    ","
                            8","
                            100/100                    ","90,776"
"Chateau Haut-Brion, Pessac-Leognan, France","
                            2015                    ","
                            9","
                            100/100                    ",583
"Tenuta San Guido Sassicaia Bolgheri, Tuscany, Italy","
                            1985                    ","
                            11","
                            100/100                    ","2,066"
"Chateau Cheval Blanc, Saint-Emilion Grand Cru, France","
                            2005                    ","
                            12","
                            100/100                    ",810
"Chateau Cheval Blanc, Saint-Emilion Grand Cru, France","
                            1947                    ","
                            12","
                            100/100                    ","6,988"
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole, Cote de Nuits, France","
                            1999                    ","
                            13","
                            100/100                    ","5,944"
"Domaine de la Romanee-Conti La Tache Grand Cru Monopole, Cote de Nuits, France","
                            1961                    ","
                            13","
                            100/100                    ","4,296"
"Masseto Toscana IGT, Tuscany, Italy","
                            2006                    ","
                            18","
                            100/100                    ",883
"Chateau Montrose, Saint-Estephe, France","
                            2010                    ","
                            19","
                            100/100                    ",245
"Chateau Montrose, Saint-Estephe, France","
                            2009                    ","
                            19","
                            100/100                    ",289
"Chateau Montrose, Saint-Estephe, France","
                            1990                    ","
                            19","
                            100/100                    ",583
"Chateau Cos d'Estournel, Saint-Estephe, France","
                            2009                    ","
                            20","
                            100/100                    ",344
"Chateau Climens, Barsac, France","
                            1929                    ","
                            253","
                            100/100                    ","1,287"
"Coche-Dury Corton-Charlemagne Grand Cru, Cote de Beaune, France","
                            2001                    ","
                            258","
                            100/100                    ","4,213"
"Coche-Dury Corton-Charlemagne Grand Cru, Cote de Beaune, France","
                            1990                    ","
                            258","
                            100/100                    ","6,459"
"Domaine de la Janasse Cuvee Vieilles Vignes, Chateauneuf-du-Pape, France","
                            2010                    ","
                            271","
                            100/100                    ",159
"Coche-Dury Les Perrieres, Meursault Premier Cru, France","
                            2001                    ","
                            327","
                            100/100                    ","2,433"
"Chateau Latour a Pomerol, Pomerol, France","
                            1961                    ","
                            329","
                            100/100                    ","8,061"
"Chateau Latour a Pomerol, Pomerol, France","
                            1947                    ","
                            329","
                            100/100                    ","4,197"
"Domaine Saint Prefert Chateauneuf-du-Pape Collection Charles Giraud, Rhone, France","
                            2010                    ","
                            342","
                            100/100                    ",262
"Domaine Saint Prefert Chateauneuf-du-Pape Collection Charles Giraud, Rhone, France","
                            2007                    ","
                            342","
                            100/100                    ",260
"Penfolds Grange Bin 95, Australia","
                            2008                    ","
                            22","
                            100/100                    ",555
"Chateau Palmer, Margaux, France","
                            1961                    ","
                            24","
                            100/100                    ","3,680"
"Chateau Angelus, Saint-Emilion Grand Cru, France","
                            2005                    ","
                            27","
                            100/100                    ",479
"Chateau La Mission Haut-Brion, Pessac-Leognan, France","
                            2005                    ","
                            33","
                            100/100                    ",588
"Chateau La Mission Haut-Brion, Pessac-Leognan, France","
                            2000                    ","
                            33","
                            100/100                    ",688
"Chateau La Mission Haut-Brion, Pessac-Leognan, France","
                            1961                    ","
                            33","
                            100/100                    ","3,065"
"Chateau La Mission Haut-Brion, Pessac-Leognan, France","
                            1955                    ","
                            33","
                            100/100                    ","2,416"
"Chateau La Mission Haut-Brion, Pessac-Leognan, France","
                            1949                    ","
                            33","
                            100/100                    ","2,396"
"Chateau La Mission Haut-Brion, Pessac-Leognan, France","
                            1945                    ","
                            33","
                            100/100                    ","3,618"
"Domaine de la Janasse Cuvee Vieilles Vignes, Chateauneuf-du-Pape, France","
                            2007                    ","
                            271","
                            100/100                    ",191
"Quilceda Creek Cabernet Sauvignon, Columbia Valley, USA","
                            2007                    ","
                            276","
                            100/100                    ",252
"Quilceda Creek Cabernet Sauvignon, Columbia Valley, USA","
                            2005                    ","
                            276","
                            100/100                    ",271
"Quilceda Creek Cabernet Sauvignon, Columbia Valley, USA","
                            2003                    ","
                            276","
                            100/100                    ",283
