wine_name,vintage,popularity,score,avg_price
"Villa Maria The Gravels Ngakirikiri, Hawkes Bay, New Zealand","
                            2013                    ","
                            41,773","
                            98/100                    ",78
"Sacred Hill Helmsman Cabernet - Merlot, Hawke's Bay, New Zealand","
                            2014                    ","
                            44,324","
                            98/100                    ",40
"Stonecroft Reserve Syrah, Gimblett Gravels, New Zealand","
                            2013                    ","
                            73,107","
                            98/100                    ",37
"Vidal Wines Legacy Cabernet Sauvignon, Gimblett Gravels, New Zealand","
                            2014                    ","
                            78,210","
                            98/100                    ",33
"Millton Clos de Ste. Anne Chenin Blanc, Gisborne, New Zealand","
                            2013                    ","
                            90,752","
                            98/100                    ",36
"Framingham F-Series Riesling Beerenauslese, Marlborough, New Zealand","
                            2012                    ","
                            90,752","
                            98/100                    ",77
"Millton Clos de Ste. Anne Les Arbres Viognier, Gisborne, New Zealand","
                            2013                    ","
                            103,264","
                            98/100                    ",37
"Framingham Noble Selection Riesling, Marlborough, New Zealand","
                            2014                    ","
                            113,998","
                            98/100                    ",                    
"Rolly Gassmann Pinot Gris Rotleibel de Rohrschwihr Vendanges Tardives, Alsace, France","
                            1996                    ","
                            135,770","
                            98/100                    ",71
"Louis Roederer Cristal Brut Millesime, Champagne, France","
                            2000                    ","
                            16","
                            97/100                    ",254
"Penfolds Grange Bin 95, Australia","
                            1988                    ","
                            22","
                            97/100                    ",426
"Taittinger Comtes de Champagne Blanc de Blancs Brut, Champagne, France","
                            1996                    ","
                            103","
                            97/100                    ",362
"Chateau Rieussec, Sauternes, France","
                            1997                    ","
                            106","
                            97/100                    ",70
"Perrier-Jouet Belle Epoque - Fleur de Champagne Brut Millesime, Champagne, France","
                            1998                    ","
                            143","
                            97/100                    ",162
"Moss Wood Cabernet Sauvignon, Margaret River, Australia","
                            2013                    ","
                            1,040","
                            97/100                    ",67
"Moss Wood Cabernet Sauvignon, Margaret River, Australia","
                            2001                    ","
                            1,040","
                            97/100                    ",111
"Wynns Coonawarra Estate John Riddoch Cabernet Sauvignon, Coonawarra, Australia","
                            2013                    ","
                            1,327","
                            97/100                    ",73
"Wynns Coonawarra Estate John Riddoch Cabernet Sauvignon, Coonawarra, Australia","
                            2012                    ","
                            1,327","
                            97/100                    ",78
"Kumeu River Mate's Vineyard Chardonnay, Kumeu, New Zealand","
                            2014                    ","
                            1,369","
                            97/100                    ",43
"Kumeu River Mate's Vineyard Chardonnay, Kumeu, New Zealand","
                            2010                    ","
                            1,369","
                            97/100                    ",61
"Te Mata Estate Coleraine, Hawke's Bay, New Zealand","
                            2010                    ","
                            1,614","
                            97/100                    ",36
"Penfolds Bin 707 Cabernet Sauvignon, South Australia","
                            2009                    ","
                            192","
                            97/100                    ",356
"Penfolds St. Henri Shiraz, South Australia","
                            2009                    ","
                            234","
                            97/100                    ",81
"Penfolds RWT - Bin 798 Shiraz, Barossa Valley, Australia","
                            2009                    ","
                            334","
                            97/100                    ",118
"Penfolds RWT - Bin 798 Shiraz, Barossa Valley, Australia","
                            2008                    ","
                            334","
                            97/100                    ",116
"Ata Rangi Pinot Noir, Martinborough, New Zealand","
                            2013                    ","
                            791","
                            97/100                    ",50
