critic_id,critic_name
bettane_desseauve,Michel Bettane & Thierry Desseauve
campbell_bob,Bob Campbell
cellar_tracker,CellarTracker
decanter_world_wine_awards,Decanter World Wine Awards
doctor_wine,Daniele Cernilli
el_mundo_vino,El Mundo Vino
falstaff,Falstaff Magazine
gault_millau,Gault & Millau Wine Guide
gilbert_gaillard,Gilbert & Gaillard
guia_penin,Guía Peñín
guia_repsol,Guía Repsol 
hooke_huon,Huon Hooke
halliday_james,James Halliday
goode_jamie,Jamie Goode
quarin_jean_marc,Jean-Marc Quarin
cho_lee_jeannie,Jeanni Cho Lee
leve_jeff,Jeff Leve
oliver_jeremy,Jeremy Oliver
la_revue_du_vin_de_france,La Revue du France
gardini_luca,Luca Gardini
platters,Platter's South African Wine Guide
revista_de_vinhos,Revist de Vinhos
tanzer_stephen,Stephen Tanzer
the_wine_front,The Wine Front
atkin_tim,Tim Atkin
vinum,Vinum Wine Magazin
wine_enthusiast,Wine Enthusiast
wine_and_spirits,Wine and Spirits
wine_spectator,Wine Spectator
the_wine_advocate,The Wine Advocate
vinous,Vinous
5_star_wines,5StarWines
