wine_id,critic_id,score,popularity
nannan,5_star_wines,,
"Neudorf Moutere Chardonnay, Nelson, New Zealand2014",campbell_bob,100,8563
"Ata Rangi Pinot Noir, Martinborough, New Zealand2014",campbell_bob,99,792
"Penfolds Bin 60A Coonawarra Cabernet Sauvignon - Barossa Shiraz, South Australia1962",campbell_bob,99,2759
"Dry River Pinot Noir, Martinborough, New Zealand2013",campbell_bob,99,4089
"Trinity Hill Homage Syrah, Gimblett Gravels, New Zealand2014",campbell_bob,99,5198
"Church Road Tom Merlot - Cabernet Sauvignon, Hawke's Bay, New Zealand2013",campbell_bob,99,7476
"Bell Hill Chardonnay, Canterbury, New Zealand2012",campbell_bob,99,11123
"Penfolds Grange Bin 95, Australia2006",campbell_bob,98,21
"Penfolds Grange Bin 95, Australia1987",campbell_bob,98,21
"Penfolds Grange Bin 95, Australia1986",campbell_bob,98,21
"Penfolds Bin 707 Cabernet Sauvignon, South Australia2008",campbell_bob,98,171
"Penfolds St. Henri Shiraz, South Australia2012",campbell_bob,98,227
"Moss Wood Cabernet Sauvignon, Margaret River, Australia2010",campbell_bob,98,871
"Te Mata Estate Coleraine, Hawke's Bay, New Zealand2014",campbell_bob,98,1364
"Te Mata Estate Coleraine, Hawke's Bay, New Zealand2013",campbell_bob,98,1364
"Bodegas Toro Albala Don PX Convento Seleccion, Montilla-Moriles, Spain1931",campbell_bob,98,1915
"Penfolds Yattarna 'Bin 144' Chardonnay, South Australia2010",campbell_bob,98,2066
"Craggy Range Sophia Merlot, Gimblett Gravels, New Zealand2013",campbell_bob,98,2737
"Craggy Range Le Sol Syrah, Gimblett Gravels, New Zealand2013",campbell_bob,98,2755
"Craggy Range Le Sol Syrah, Gimblett Gravels, New Zealand2010",campbell_bob,98,2755
"Craggy Range Le Sol Syrah, Gimblett Gravels, New Zealand2009",campbell_bob,98,2755
"Dog Point Pinot Noir, Marlborough, New Zealand2012",campbell_bob,98,2829
"Penfolds Bin 169 Cabernet Sauvignon, Coonawarra, Australia2010",campbell_bob,98,3070
"Bell Hill Pinot Noir, Canterbury, New Zealand2013",campbell_bob,98,3371
"Bell Hill Pinot Noir, Canterbury, New Zealand2012",campbell_bob,98,3371
"Bell Hill Pinot Noir, Canterbury, New Zealand2011",campbell_bob,98,3371
"Felton Road Block 5 Pinot Noir, Bannockburn, New Zealand2013",campbell_bob,98,3750
"Felton Road Block 5 Pinot Noir, Bannockburn, New Zealand2007",campbell_bob,98,3750
"Dry River Pinot Noir, Martinborough, New Zealand2014",campbell_bob,98,4089
"Escarpment Kupe Pinot Noir, Martinborough, New Zealand2014",campbell_bob,98,4738
"Escarpment Kupe Pinot Noir, Martinborough, New Zealand2013",campbell_bob,98,4738
"Craggy Range Aroha Pinot Noir, Martinborough, New Zealand2014",campbell_bob,98,7061
"Neudorf Moutere Chardonnay, Nelson, New Zealand2015",campbell_bob,98,8563
"Neudorf Moutere Chardonnay, Nelson, New Zealand2013",campbell_bob,98,8563
"Neudorf Moutere Chardonnay, Nelson, New Zealand2007",campbell_bob,98,8563
"Destiny Bay 'Magna Praemia', Waiheke Island, New Zealand2013",campbell_bob,98,9055
"Destiny Bay 'Magna Praemia', Waiheke Island, New Zealand2010",campbell_bob,98,9055
"Taylors Wakefield Exceptional Parcel Release Estate 'The Visionary' Cabernet Sauvignon, Clare Valley, Australia2009",campbell_bob,98,9668
"Felton Road Block 2 Chardonnay, Bannockburn, New Zealand2010",campbell_bob,98,11067
"Framingham F-Series Riesling Trockenbeerenauslese, Marlborough, New Zealand2016",campbell_bob,98,14549
"Framingham F-Series Riesling Trockenbeerenauslese, Marlborough, New Zealand2015",campbell_bob,98,14549
"Framingham F-Series Riesling Trockenbeerenauslese, Marlborough, New Zealand2013",campbell_bob,98,14549
"Destiny Bay 'Mystae', Waiheke Island, New Zealand2010",campbell_bob,98,25117
"Martinborough Vineyard Marie Zelie Reserve Pinot Noir, Martinborough, New Zealand2013",campbell_bob,98,27406
"Martinborough Vineyard Marie Zelie Reserve Pinot Noir, Martinborough, New Zealand2008",campbell_bob,98,27406
"Felton Road Block 1 Riesling, Bannockburn, New Zealand2016",campbell_bob,98,28870
"Villa Maria The Gravels Ngakirikiri, Hawkes Bay, New Zealand2013",campbell_bob,98,31816
"Te Whau The Point, Waiheke Island, New Zealand2013",campbell_bob,98,34863
"Sacred Hill Helmsman Cabernet - Merlot, Hawke's Bay, New Zealand2014",campbell_bob,98,35428
"Wynns Coonawarra Estate Messenger Cabernet Sauvignon, Coonawarra, Australia2010",campbell_bob,98,37878
"Hugel & Fils Pinot Gris Vendange Tardive, Alsace, France2008",campbell_bob,98,37878
"Puriri Hills Pope, Clevedon, New Zealand2008",campbell_bob,98,43779
"Dry River Pinot Gris, Martinborough, New Zealand2013",campbell_bob,98,46514
"Dry River Lovat Gewurztraminer, Martinborough, New Zealand2014",campbell_bob,98,49599
"Stonecroft Reserve Syrah, Gimblett Gravels, New Zealand2013",campbell_bob,98,63460
"Millton Clos de Ste. Anne Chenin Blanc, Gisborne, New Zealand2013",campbell_bob,98,81395
"Millton Clos de Ste. Anne Les Arbres Viognier, Gisborne, New Zealand2013",campbell_bob,98,84304
"Framingham F-Series Riesling Beerenauslese, Marlborough, New Zealand2012",campbell_bob,98,91025
"Vidal Wines Legacy Cabernet Sauvignon, Gimblett Gravels, New Zealand2014",campbell_bob,98,155528
"Rolly Gassmann Pinot Gris Rotleibel de Rohrschwihr Vendanges Tardives, Alsace, France1996",campbell_bob,98,155528
"Louis Roederer Cristal Brut Millesime, Champagne, France2000",campbell_bob,97,15
"Penfolds Grange Bin 95, Australia1988",campbell_bob,97,21
"Taittinger Comtes de Champagne Blanc de Blancs Brut, Champagne, France1996",campbell_bob,97,88
"Perrier-Jouet Belle Epoque - Fleur de Champagne Brut Millesime, Champagne, France1998",campbell_bob,97,114
"Chateau Rieussec, Sauternes, France1997",campbell_bob,97,117
"Penfolds Bin 707 Cabernet Sauvignon, South Australia2009",campbell_bob,97,171
"Penfolds St. Henri Shiraz, South Australia2009",campbell_bob,97,227
"Penfolds RWT - Bin 798 Shiraz, Barossa Valley, Australia2009",campbell_bob,97,303
"Penfolds RWT - Bin 798 Shiraz, Barossa Valley, Australia2008",campbell_bob,97,303
"Ata Rangi Pinot Noir, Martinborough, New Zealand2013",campbell_bob,97,792
"Ata Rangi Pinot Noir, Martinborough, New Zealand2012",campbell_bob,97,792
"Ata Rangi Pinot Noir, Martinborough, New Zealand2011",campbell_bob,97,792
"Ata Rangi Pinot Noir, Martinborough, New Zealand2010",campbell_bob,97,792
"Ata Rangi Pinot Noir, Martinborough, New Zealand2008",campbell_bob,97,792
"Ata Rangi Pinot Noir, Martinborough, New Zealand2006",campbell_bob,97,792
"Moss Wood Cabernet Sauvignon, Margaret River, Australia2013",campbell_bob,97,871
"Moss Wood Cabernet Sauvignon, Margaret River, Australia2001",campbell_bob,97,871
"Wynns Coonawarra Estate John Riddoch Cabernet Sauvignon, Coonawarra, Australia2013",campbell_bob,97,911
"Wynns Coonawarra Estate John Riddoch Cabernet Sauvignon, Coonawarra, Australia2012",campbell_bob,97,911
"Felton Road Bannockburn Pinot Noir, Bannockburn, New Zealand2007",campbell_bob,97,1269
"Te Mata Estate Coleraine, Hawke's Bay, New Zealand2010",campbell_bob,97,1364
"Wynns Coonawarra Estate Michael Shiraz, Coonawarra, Australia2013",campbell_bob,97,2067
"Wynns Coonawarra Estate Michael Shiraz, Coonawarra, Australia2012",campbell_bob,97,2067
"Kumeu River Mate's Vineyard Chardonnay, Kumeu, New Zealand2014",campbell_bob,97,2249
"Kumeu River Mate's Vineyard Chardonnay, Kumeu, New Zealand2010",campbell_bob,97,2249
"Cloudy Bay Chardonnay, Marlborough, New Zealand2013",campbell_bob,97,2383
"Felton Road Block 3 Pinot Noir, Bannockburn, New Zealand2013",campbell_bob,97,2627
"Craggy Range Le Sol Syrah, Gimblett Gravels, New Zealand2014",campbell_bob,97,2755
"Craggy Range Le Sol Syrah, Gimblett Gravels, New Zealand2007",campbell_bob,97,2755
"Craggy Range Le Sol Syrah, Gimblett Gravels, New Zealand2006",campbell_bob,97,2755
"BVE Barossa Valley Estate E & E Black Pepper Shiraz, Barossa Valley, Australia2004",campbell_bob,97,3070
"Burn Cottage Pinot Noir, Central Otago, New Zealand2014",campbell_bob,97,3541
"Burn Cottage Pinot Noir, Central Otago, New Zealand2013",campbell_bob,97,3541
"Felton Road Block 5 Pinot Noir, Bannockburn, New Zealand2012",campbell_bob,97,3750
"Felton Road Block 5 Pinot Noir, Bannockburn, New Zealand2010",campbell_bob,97,3750
"Penfolds Great Grandfather Rare Tawny Port, South Australianan",campbell_bob,97,4738
"Trinity Hill Homage Syrah, Gimblett Gravels, New Zealand2013",campbell_bob,97,5198
"Trinity Hill Homage Syrah, Gimblett Gravels, New Zealand2009",campbell_bob,97,5198
"Kusuda Pinot Noir, Martinborough, New Zealand2013",campbell_bob,97,5745
"Taylor Fladgate 40 year old Tawny Port, Portugalnan",campbell_bob,97,6077
"Craggy Range Aroha Pinot Noir, Martinborough, New Zealand2012",campbell_bob,97,7061
"Felton Road Cornish Point Pinot Noir, Bannockburn, New Zealand2015",campbell_bob,97,7445
