name,vintage,avg_price,producer,region/appellation,country,blend,pairing,style,alcohol
"Kapcsandy Family Winery State Lane Vineyard Grand-Vin Cabernet Sauvignon, Napa Valley, USA",2014,"
€369
","Napa Valley,
Napa County, ,
North Coast, ,
California, ,
USA
",Cabernet Sauvignon,Cabernet Sauvignon,,,,
"Philip Togni Vineyard Cabernet Sauvignon, Napa Valley, USA",2013,"
€172
","Napa Valley,
Napa County, ,
North Coast, ,
California, ,
USA
",Cabernet Sauvignon,Cabernet Sauvignon,,,,
"Dalla Valle Vineyards Cabernet Sauvignon, Napa Valley, USA",2012,"
€184
",Dalla Valle Vineyards,Napa Valley,"
USA
",Cabernet Sauvignon,Beef and Venison,Red - Bold and Structured,15%
"Abreu Vineyard 'Thorevilos' Cabernet Sauvignon, Napa Valley, USA",2013,"
€704
",Abreu Vineyards,Napa Valley,"
USA
",Bordeaux Blend Red,Beef and Venison,Red - Bold and Structured,
"Dalla Valle Vineyards 'MDV' Cabernet Sauvignon, Napa Valley, USA",2013,"
€884
","Napa Valley,
Napa County, ,
North Coast, ,
California, ,
USA
",Cabernet Sauvignon,Cabernet Sauvignon,,,,
"Coche-Dury Corton-Charlemagne Grand Cru, Cote de Beaune, France",2010,"
€5,140
",Coche-Dury,Corton-Charlemagne,"
France
",Chardonnay,Chicken and Turkey,White - Buttery and Complex,13%
"Masseto Toscana IGT, Tuscany, Italy",2006,"
€902
",Masseto,Toscana IGT,"
Italy
",Merlot,Beef and Venison,Red - Bold and Structured,14 - 15%
"Shafer Vineyards Hillside Select Cabernet Sauvignon, Stags Leap District, USA",2010,"
€407
",Shafer Vineyards,Stags Leap District,"
USA
",Cabernet Sauvignon,Beef and Venison,Red - Bold and Structured,14 - 16%
"Promontory, Napa Valley, USA",2013,"
€795
",Promontory,Napa Valley,"
USA
",Cabernet Sauvignon,Beef and Venison,Red - Bold and Structured,14%
"Domaine du Comte Liger-Belair La Romanee Grand Cru, Cote de Nuits, France",2012,"
€5,403
",Domaine du Comte Liger-Belair,La Romanee,"
France
",Pinot Noir,"Duck, Goose and Game Birds",Red - Savory and Classic,13%
"Dominus Estate Christian Moueix, Napa Valley, USA",2012,"
€205
",Dominus Estate,Napa Valley,"
USA
",Bordeaux Blend Red,Beef and Venison,Red - Bold and Structured,13 - 15%
"Harlan Estate, Napa Valley, USA",2010,"
€941
",Harlan Estate,Napa Valley,"
USA
",Bordeaux Blend Red,Beef and Venison,Red - Bold and Structured,13 - 14%
"Chateau Ausone, Saint-Emilion Grand Cru, France",2015,"
€854
",Chateau Ausone,Saint-Emilion Grand Cru,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 14%
"Bond St Eden, Napa Valley, USA",2010,"
€446
",Bond,Napa Valley,"
USA
",Cabernet Sauvignon,Beef and Venison,Red - Bold and Structured,14%
"Ridge Vineyards Monte Bello, Santa Cruz Mountains, USA",2015,"
€190
",Ridge Vineyards,Santa Cruz Mountains,"
USA
",Bordeaux Blend Red,Beef and Venison,Red - Bold and Structured,12 - 14%
"Chateau Margaux, Margaux, France",2009,"
€962
",Chateau Margaux,Margaux,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 14%
"Domaine Ponsot Clos de la Roche Grand Cru 'Cuvee Vieilles Vignes', Cote de Nuits, France",2005,"
€1,062
",Domaine Ponsot,Clos de la Roche,"
France
",Pinot Noir,"Duck, Goose and Game Birds",Red - Savory and Classic,
"Abreu Vineyard 'Thorevilos' Cabernet Sauvignon, Napa Valley, USA",2010,"
$501
",Abreu Vineyards,Napa Valley,"
USA
",Bordeaux Blend Red,Beef and Venison,Red - Bold and Structured,
"Dalla Valle Vineyards Maya, Napa Valley, USA",2012,"
€421
",Dalla Valle Vineyards,Napa Valley,"
USA
",Bordeaux Blend Red,Beef and Venison,Red - Bold and Structured,
"Screaming Eagle Cabernet Sauvignon, Napa Valley, USA",2007,"
€3,791
",Screaming Eagle,Napa Valley,"
USA
",Cabernet Sauvignon,Beef and Venison,Red - Bold and Structured,14%
"Abreu Vineyard Howell Mountain Red, Napa Valley, USA",2010,"
€432
",Abreu Vineyards,Howell Mountain,"
USA
",Bordeaux Blend Red,Beef and Venison,Red - Bold and Structured,
"Harlan Estate, Napa Valley, USA",2013,"
€1,143
",Harlan Estate,Napa Valley,"
USA
",Bordeaux Blend Red,Beef and Venison,Red - Bold and Structured,13 - 14%
"Abreu Vineyard Madrona Ranch Cabernet Sauvignon, Napa Valley, USA",2010,"
€365
",Abreu Vineyards,Napa Valley,"
USA
",Cabernet Sauvignon,Beef and Venison,Red - Bold and Structured,
"Vieux Chateau Certan, Pomerol, France",2015,"
€279
",Vieux Chateau Certan,Pomerol,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 14%
"Dominus Estate Christian Moueix, Napa Valley, USA",2013,"
€324
",Dominus Estate,Napa Valley,"
USA
",Bordeaux Blend Red,Beef and Venison,Red - Bold and Structured,13 - 15%
name,vintage,avg_price,producer,region/appellation,country,blend,pairing,style,alcohol
"Montevertine Le Pergole Torte Toscana IGT, Tuscany, Italy",2013,"
€118
",Montevertine,Toscana IGT,"
Italy
",Sangiovese,Beef and Venison,Red - Bold and Structured,13%
"Morlet Family Vineyards Coeur De Vallee Cabernet Sauvignon, Oakville, USA",2010,"
£159
",Morlet Family Vineyards,Oakville,"
USA
",Cabernet Franc - Cabernet Sauvignon,Beef and Venison,Red - Bold and Structured,
"Domaine Marquis d'Angerville Taille Pieds, Volnay Premier Cru, France",2010,"
€147
",Domaine Marquis d'Angerville,Volnay Taille Pieds,"
France
",Pinot Noir,"Duck, Goose and Game Birds",Red - Savory and Classic,13%
"Tensley Colson Canyon Vineyard Syrah, Santa Barbara County, USA",2015,"
€42
",Tensley Wines,Santa Barbara County,"
USA
",Syrah,Lamb,Red - Rich and Intense,15%
"Claude Dugat Chapelle-Chambertin Grand Cru, Cote de Nuits, France",2012,"
€452
",Claude Dugat,Chapelle-Chambertin,"
France
",Pinot Noir,"Duck, Goose and Game Birds",Red - Savory and Classic,
"Domaine Leflaive Montrachet Grand Cru, Cote de Beaune, France",2009,"
€5,673
",Domaine Leflaive,Le Montrachet,"
France
",Chardonnay,Chicken and Turkey,White - Buttery and Complex,
"Fattoria Galardi Terra di Lavoro Roccamonfina IGT, Campania, Italy",2010,"
€61
",Galardi,Roccamonfina IGT,"
Italy
",Aglianico - Piedirosso,Beef and Venison,Red - Bold and Structured,13 - 14%
"Domaine Leflaive Montrachet Grand Cru, Cote de Beaune, France",2010,93,"Le Montrachet,
Puligny-Montrachet, ,
Cote de Beaune, ,
Burgundy, ,
France
",Chardonnay,Chardonnay,,,,
"Henri Bonneau Chateauneuf-du-Pape Reserve des Celestins, Rhone, France",2005,"
€539
",Henri Bonneau,Chateauneuf-du-Pape,"
France
",Southern Rhone Red Blend,Lamb,Red - Rich and Intense,
"Domaine de la Vougeraie Batard-Montrachet Grand Cru, Cote de Beaune, France",2012,"
€343
",Domaine de la Vougeraie,Batard-Montrachet,"
France
",Chardonnay,Chicken and Turkey,White - Buttery and Complex,13%
"Bond Pluribus, Napa Valley, USA",2013,"
€563
",Bond,Napa Valley,"
USA
",Cabernet Sauvignon,Beef and Venison,Red - Bold and Structured,14%
"Domaine Dujac Bonnes-Mares Grand Cru, Cote de Nuits, France",2012,"
€776
",Domaine Dujac,Bonnes-Mares,"
France
",Pinot Noir,"Duck, Goose and Game Birds",Red - Savory and Classic,
"Domaine Leroy Chambertin Grand Cru, Cote de Nuits, France",2005,"
€8,174
",Domaine Leroy,Le Chambertin,"
France
",Pinot Noir,"Duck, Goose and Game Birds",Red - Savory and Classic,
"Domaine Jean Grivot Echezaux Grand Cru, Cote de Nuits, France",2010,"
€555
",Domaine Jean Grivot,Echezeaux,"
France
",Pinot Noir,"Duck, Goose and Game Birds",Red - Savory and Classic,
"Domaine Jacques-Frederic Mugnier Le Musigny Grand Cru, Cote de Nuits, France",2005,"
€3,795
",Domaine Jacques-Frederic Mugnier,Le Musigny,"
France
",Pinot Noir,"Duck, Goose and Game Birds",Red - Savory and Classic,
"Domaine Francois Raveneau Les Clos, Chablis Grand Cru, France",2012,"
€549
",Domaine Francois Raveneau,Chablis Grand Cru Les Clos,"
France
",Chardonnay,"Shellfish, Crab and Lobster",White - Green and Flinty,13%
"Domaine Francois Raveneau Les Clos, Chablis Grand Cru, France",2008,"
€620
",Domaine Francois Raveneau,Chablis Grand Cru Les Clos,"
France
",Chardonnay,"Shellfish, Crab and Lobster",White - Green and Flinty,13%
"Duffau-Lagarrosse Chateau Beausejour, Saint-Emilion Grand Cru, France",2015,"
$150
",Chateau Beausejour Heritiers Duffau-Lagarrosse,Saint-Emilion Grand Cru,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,14%
"Chambers Rosewood Vineyards Rare Muscat, Rutherglen, Australia",NV,"
€344
",Chambers Rosewood Winery,Rutherglen,"
Australia
",Muscat,Cakes and Cream,Dessert - Caramelized and Sticky,17 - 18%
"Domaine Leflaive Chevalier-Montrachet Grand Cru, Cote de Beaune, France",2009,"
€536
",Domaine Leflaive,Chevalier-Montrachet,"
France
",Chardonnay,Chicken and Turkey,White - Buttery and Complex,13 - 14%
"Domaine Jacques-Frederic Mugnier Le Musigny Grand Cru, Cote de Nuits, France",2012,"
€2,269
",Domaine Jacques-Frederic Mugnier,Le Musigny,"
France
",Pinot Noir,"Duck, Goose and Game Birds",Red - Savory and Classic,
"Sine Qua Non The Duel Estate Syrah, Sta Rita Hills, USA",2008,"
€556
",Sine Qua Non,Sta Rita Hills,"
USA
",Syrah,Lamb,Red - Rich and Intense,
"Kapcsandy Family Winery Rapszodia, Yountville, USA",2013,"
€372
",Kapcsandy Family Winery,Yountville,"
USA
",Cabernet Franc - Merlot,Lamb,Red - Rich and Intense,13 - 14%
"Pascal Marchand-Tawse Chambertin Clos de Beze Grand Cru, Cote de Nuits, France",2010,"
€212
",Domaine Marchand-Tawse,Chambertin Clos-de-Beze,"
France
",Pinot Noir,"Duck, Goose and Game Birds",Red - Savory and Classic,
"Domaine Jacques-Frederic Mugnier Le Musigny Grand Cru, Cote de Nuits, France",2010,"
€2,492
",Domaine Jacques-Frederic Mugnier,Le Musigny,"
France
",Pinot Noir,"Duck, Goose and Game Birds",Red - Savory and Classic,
"Kapcsandy Family Winery Rapszodia, Yountville, USA",2014,"
€304
","Yountville,
Napa Valley, ,
Napa County, ,
North Coast, ,
California, ,
USA
",Cabernet Franc - Merlot,Cabernet Franc - Merlot,,,,
"Bevan Cellars Harbison Vineyard Cabernet Sauvignon, Oakville, USA",2013,"
€356
","Oakville,
Napa Valley, ,
Napa County, ,
North Coast, ,
California, ,
USA
",Cabernet Sauvignon,Cabernet Sauvignon,,,,
"Domaine Henri Boillot Bienvenues-Batard-Montrachet Grand Cru, Cote de Beaune, France",2012,"
€389
",Domaine Henri Boillot,Bienvenues-Batard-Montrachet,"
France
",Chardonnay,Chicken and Turkey,White - Buttery and Complex,
"Weingut Keller Westhofener Brunnenhauschen Abts Erde Riesling Trockenbeerenauslese, Rheinhessen, Germany",2014,"
€1,508
","Westhofen,
Rheinhessen, ,
Germany
",Riesling,Riesling,,,,
