name,vintage,avg_price,producer,region/appellation,country,blend,pairing,style,alcohol
"Neudorf Moutere Chardonnay, Nelson, New Zealand",2014,"
€97
",Neudorf Vineyards,Nelson,"
New Zealand
",Chardonnay,Chicken and Turkey,White - Tropical and Balanced,13 - 14%
"Dog Point Pinot Noir, Marlborough, New Zealand",2012,"
€29
",Dog Point Vineyard,Marlborough,"
New Zealand
",Pinot Noir,Meaty and Oily Fish,Red - Light and Perfumed,13 - 14%
"Moss Wood Cabernet Sauvignon, Margaret River, Australia",2010,"
$130
",Moss Wood Wines,Margaret River,"
Australia
",Cabernet Sauvignon,Beef and Venison,Red - Bold and Structured,13 - 14%
"Escarpment Kupe Pinot Noir, Martinborough, New Zealand",2013,"
€37
",Escarpment,Martinborough,"
New Zealand
",Pinot Noir,Meaty and Oily Fish,Red - Light and Perfumed,12 - 14%
"Penfolds Bin 707 Cabernet Sauvignon, South Australia",2008,"
$420
",Penfolds,South Australia,"
Australia
",Cabernet Sauvignon,Beef and Venison,Red - Rich and Intense,13 - 14%
"Bodegas Toro Albala Don PX Convento Seleccion, Montilla-Moriles, Spain",1931,"
€260
","Montilla-Moriles,
Andalucia, ,
Spain
",Pedro Ximenez,Pedro Ximenez,,,,
"Felton Road Block 5 Pinot Noir, Bannockburn, New Zealand",2007,"
€78
",Felton Road,Bannockburn,"
New Zealand
",Pinot Noir,"Duck, Goose and Game Birds",Red - Bold and Structured,13 - 14%
"Felton Road Block 5 Pinot Noir, Bannockburn, New Zealand",2013,"
€75
",Felton Road,Bannockburn,"
New Zealand
",Pinot Noir,"Duck, Goose and Game Birds",Red - Bold and Structured,13 - 14%
"Dry River Pinot Noir, Martinborough, New Zealand",2013,"
€64
",Dry River Wines,Martinborough,"
New Zealand
",Pinot Noir,Meaty and Oily Fish,Red - Light and Perfumed,12 - 14%
"Bell Hill Chardonnay, Canterbury, New Zealand",2012,"
$83
","Canterbury,
New Zealand
",Chardonnay,Chardonnay,,,,
