name,vintage,avg_price,producer,region/appellation,country,blend,pairing,style,alcohol
"Bouchard Pere & Fils Montrachet Grand Cru, Cote de Beaune, France",2010,"
€627
",Bouchard Pere & Fils,Le Montrachet,"
France
",Chardonnay,Chicken and Turkey,White - Buttery and Complex,13 - 14%
"Domaine de la Romanee-Conti Montrachet Grand Cru, Cote de Beaune, France",2014,"
€7,053
",Domaine de la Romanee-Conti,Le Montrachet,"
France
",Chardonnay,Chicken and Turkey,White - Buttery and Complex,14%
"William Fevre Les Clos, Chablis Grand Cru, France",2012,"
€92
",William Fevre,Chablis Grand Cru Les Clos,"
France
",Chardonnay,"Shellfish, Crab and Lobster",White - Green and Flinty,12 - 13%
"Domaine Leroy Musigny Grand Cru, Cote de Nuits, France",2014,"
€16,267
",Domaine Leroy,Le Musigny,"
France
",Pinot Noir,"Duck, Goose and Game Birds",Red - Savory and Classic,
"M. Chapoutier Ermitage Le Pavillon, Rhone, France",2010,"
€291
",M. Chapoutier,Hermitage,"
France
",Syrah,Lamb,Red - Bold and Structured,14%
"Chateau Margaux, Margaux, France",2010,"
€983
",Chateau Margaux,Margaux,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 14%
"Domaine Leroy Chambertin Grand Cru, Cote de Nuits, France",2014,"
€7,278
",Domaine Leroy,Le Chambertin,"
France
",Pinot Noir,"Duck, Goose and Game Birds",Red - Savory and Classic,
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru, Cote de Nuits, France",2006,"
€17,664
",Domaine de la Romanee-Conti,Romanee-Conti,"
France
",Pinot Noir,"Duck, Goose and Game Birds",Red - Savory and Classic,13%
"Chateau Lafleur, Pomerol, France",2005,"
€1,592
",Chateau Lafleur,Pomerol,"
France
",Cabernet Franc - Merlot,Beef and Venison,Red - Savory and Classic,12 - 14%
"Domaine de la Romanee-Conti Romanee-Conti Grand Cru, Cote de Nuits, France",2008,"
€17,025
",Domaine de la Romanee-Conti,Romanee-Conti,"
France
",Pinot Noir,"Duck, Goose and Game Birds",Red - Savory and Classic,13%
"Bouchard Pere & Fils Montrachet Grand Cru, Cote de Beaune, France",2009,"
€457
",Bouchard Pere & Fils,Le Montrachet,"
France
",Chardonnay,Chicken and Turkey,White - Buttery and Complex,13 - 14%
"E. Guigal Cote Rotie La Turque, Rhone, France",2005,"
$521
",E. Guigal,Cote Rotie,"
France
",Syrah - Viognier,Lamb,Red - Bold and Structured,13%
"Chateau Figeac, Saint-Emilion Grand Cru, France",1959,"
€659
",Chateau Figeac,Saint-Emilion Grand Cru,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,13 - 14%
"Chateau d'Yquem, Sauternes, France",2001,"
€629
",Chateau d'Yquem,Sauternes,"
France
",Sauvignon Blanc - Semillon,Blue Cheeses,Dessert - Lush and Balanced,12 - 14%
"Domaine Leroy Corton-Charlemagne Grand Cru, Cote de Beaune, France",2009,"
€3,852
",Domaine Leroy,Corton-Charlemagne,"
France
",Chardonnay,Chicken and Turkey,White - Buttery and Complex,
"Domaine Denis Mortet Chambertin Grand Cru, Cote de Nuits, France",2014,"
€595
",Domaine Denis Mortet,Le Chambertin,"
France
",Pinot Noir,"Duck, Goose and Game Birds",Red - Savory and Classic,
"Domaine Jean-Louis Chave Ermitage 'Cuvee Cathelin', Rhone, France",2009,"
€5,581
",Domaine Jean-Louis Chave,Hermitage,"
France
",Syrah,Lamb,Red - Bold and Structured,
"Domaine Francois Raveneau Les Clos, Chablis Grand Cru, France",2005,"
€824
",Domaine Francois Raveneau,Chablis Grand Cru Les Clos,"
France
",Chardonnay,"Shellfish, Crab and Lobster",White - Green and Flinty,13%
"Chateau Margaux, Margaux, France",2009,"
€960
",Chateau Margaux,Margaux,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 14%
"Domaine Leroy Musigny Grand Cru, Cote de Nuits, France",2008,96,"Le Musigny,
Chambolle-Musigny, ,
Cote de Nuits, ,
Burgundy, ,
France
",Pinot Noir,Pinot Noir,,,,
"M. Chapoutier Ermitage Le Meal Blanc, Rhone, France",2010,"
€195
",M. Chapoutier,Hermitage,"
France
",Marsanne,Chicken and Turkey,White - Tropical and Balanced,13 - 15%
"Chateau d'Yquem, Sauternes, France",2005,"
€370
",Chateau d'Yquem,Sauternes,"
France
",Sauvignon Blanc - Semillon,Blue Cheeses,Dessert - Lush and Balanced,12 - 14%
"Chateau d'Yquem, Sauternes, France",2009,"
€613
",Chateau d'Yquem,Sauternes,"
France
",Sauvignon Blanc - Semillon,Blue Cheeses,Dessert - Lush and Balanced,12 - 14%
"Dom Perignon Rose, Champagne, France",1996,"
€414
",Dom Perignon,Champagne Rose,"
France
",Champagne Blend,Meaty and Oily Fish,Sparkling - Berries and Cream,12%
"Chateau Ausone, Saint-Emilion Grand Cru, France",2005,"
€1,455
",Chateau Ausone,Saint-Emilion Grand Cru,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 14%
name,vintage,avg_price,producer,region/appellation,country,blend,pairing,style,alcohol
"Domaine Francois Raveneau Les Clos, Chablis Grand Cru, France",2010,"
€841
",Domaine Francois Raveneau,Chablis Grand Cru Les Clos,"
France
",Chardonnay,"Shellfish, Crab and Lobster",White - Green and Flinty,13%
"Bollinger La Grande Annee Brut, Champagne, France",2002,"
€114
",Champagne Bollinger,Champagne Brut,"
France
",Chardonnay - Pinot Noir,"Shellfish, Crab and Lobster",Sparkling - Complex and Traditional,12%
"Chateau Gilette Creme de Tete, Sauternes, France",1937,"
€842
","Sauternes,
Bordeaux, ,
France
",Sauvignon Blanc - Semillon,Sauvignon Blanc - Semillon,,,,
"Chateau Haut-Brion, Pessac-Leognan, France",2014,"
€348
",Chateau Haut-Brion,Pessac-Leognan,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 15%
"Chateau Gilette Creme de Tete, Sauternes, France",1990,"
€180
",Gonet-Medeville,Sauternes,"
France
",Sauvignon Blanc - Semillon,Blue Cheeses,Dessert - Lush and Balanced,14%
"Etienne Sauzet Montrachet Grand Cru, Cote de Beaune, France",2010,"
€813
",Domaine Etienne Sauzet,Le Montrachet,"
France
",Chardonnay,Chicken and Turkey,White - Buttery and Complex,
