name,vintage,avg_price,producer,region/appellation,country,blend,pairing,style,alcohol
"Chateau Mouton Rothschild, Pauillac, France",1986,"
€923
",Chateau Mouton Rothschild,Pauillac,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 13%
"Chateau d'Yquem, Sauternes, France",2015,"
€327
",Chateau d'Yquem,Sauternes,"
France
",Sauvignon Blanc - Semillon,Blue Cheeses,Dessert - Lush and Balanced,12 - 14%
"Chateau Haut-Brion, Pessac-Leognan, France",1945,"
€3,565
",Chateau Haut-Brion,Pessac-Leognan,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 15%
"Chateau Haut-Brion, Pessac-Leognan, France",1989,"
€2,187
",Chateau Haut-Brion,Pessac-Leognan,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 15%
"Chateau Haut-Brion, Pessac-Leognan, France",2005,"
€774
",Chateau Haut-Brion,Pessac-Leognan,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 15%
"Chateau Haut-Brion, Pessac-Leognan, France",2010,"
€909
",Chateau Haut-Brion,Pessac-Leognan,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 15%
"Chateau Haut-Brion, Pessac-Leognan, France",2015,"
€584
",Chateau Haut-Brion,Pessac-Leognan,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 15%
"Chateau Latour, Pauillac, France",1924,"
€2,004
",Chateau Latour,Pauillac,"
France
",Cabernet Sauvignon - Merlot,Beef and Venison,Red - Savory and Classic,12 - 14%
"Chateau Latour, Pauillac, France",1928,"
€3,123
",Chateau Latour,Pauillac,"
France
",Cabernet Sauvignon - Merlot,Beef and Venison,Red - Savory and Classic,12 - 14%
"Chateau Latour, Pauillac, France",1982,"
€1,992
",Chateau Latour,Pauillac,"
France
",Cabernet Sauvignon - Merlot,Beef and Venison,Red - Savory and Classic,12 - 14%
"Chateau Latour, Pauillac, France",2003,"
€911
",Chateau Latour,Pauillac,"
France
",Cabernet Sauvignon - Merlot,Beef and Venison,Red - Savory and Classic,12 - 14%
"Chateau Margaux, Margaux, France",1900,"
€14,834
",Chateau Margaux,Margaux,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 14%
"Chateau Margaux, Margaux, France",1990,"
€1,204
",Chateau Margaux,Margaux,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 14%
"Chateau Margaux, Margaux, France",1996,"
€804
",Chateau Margaux,Margaux,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 14%
"Chateau Margaux, Margaux, France",2015,"
€1,401
",Chateau Margaux,Margaux,"
France
",Bordeaux Blend Red,Beef and Venison,Red - Savory and Classic,12 - 14%
"Petrus, Pomerol, France",1921,"
€27,198
",Petrus,Pomerol,"
France
",Merlot,Beef and Venison,Red - Savory and Classic,13 - 15%
"Petrus, Pomerol, France",1989,"
€4,007
",Petrus,Pomerol,"
France
",Merlot,Beef and Venison,Red - Savory and Classic,13 - 15%
"Petrus, Pomerol, France",1990,"
€4,148
",Petrus,Pomerol,"
France
",Merlot,Beef and Venison,Red - Savory and Classic,13 - 15%
